p_val	avg_log2FC	pct.1	pct.2	p_val_adj
HNRNPA2B1	1.61971440208509e-64	0.732626314964067	0.909	0.603	2.87094377769583e-60
HNRNPA1	3.14404191698835e-64	0.751157294603012	0.864	0.515	5.57281429786185e-60
SIVA1	8.01836268200846e-64	0.84222487173787	0.521	0.171	1.421254785386e-59
TUBA1C	2.59071158561102e-63	0.992921853427712	0.697	0.35	4.59203628549554e-59
SSRP1	4.0697255216119e-63	0.788024266865099	0.361	0.079	7.2135884870571e-59
SH3BGRL3	1.15789553252595e-62	-0.655269707912912	0.969	0.958	2.05236983140224e-58
DHFR	1.37509637201562e-62	0.878292631313062	0.306	0.054	2.43735831939768e-58
BUB3	1.79239032483072e-61	0.796687274194907	0.385	0.095	3.17701185076244e-57
PRKDC	4.02900035720569e-61	0.8717468447499	0.478	0.153	7.14140313314709e-57
AURKA	8.23559785312317e-61	0.809532093563963	0.25	0.032	1.45975971946608e-56
JPT1	2.34644110521362e-60	0.845006176763996	0.583	0.227	4.15906685899114e-56
SNRPB	2.41329200709164e-60	0.750988880929368	0.7	0.305	4.27756008256993e-56
TGFBI	1.58979057430626e-59	-1.46653862406743	0.655	0.763	2.81790379295785e-55
CBX5	1.83128519654496e-59	0.77439936551063	0.346	0.077	3.24595301087595e-55
SNRPD1	8.23055987292138e-59	0.793514668517333	0.487	0.159	1.45886673747531e-54
HNRNPD	3.92618433752597e-58	0.78713310669686	0.616	0.254	6.95916173826479e-54
MCM4	4.99559168941783e-58	0.850321282297378	0.262	0.04	8.8546862694931e-54
MCM5	2.14679118940804e-57	0.871049956222007	0.272	0.045	3.80518738322576e-53
CTSB	9.61415459642015e-57	-0.906559982503202	0.878	0.9	1.70410890221547e-52
SMC1A	1.11483075988331e-56	0.745903631763352	0.377	0.098	1.97603752189318e-52
SET	1.35086368280582e-56	0.763013540120323	0.635	0.273	2.39440587777331e-52
TOMM5	1.51549239082379e-55	0.789119767334254	0.564	0.218	2.68621026273516e-51
CMC2	1.77689051060417e-54	0.761440981986054	0.26	0.043	3.14953843004589e-50
HIST1H1E	4.28437308184793e-54	1.05072968145217	0.443	0.152	7.59405128757546e-50
SNRNP25	5.38985823723964e-54	0.762381252635887	0.334	0.08	9.55352372550727e-50
NEAT1	1.20667458537882e-52	-1.31694807546406	0.5	0.655	2.13883070258396e-48
BANF1	1.40533708284042e-52	0.693198659917204	0.608	0.249	2.49095997933465e-48
RPL35	2.04384554035327e-52	0.488999335373341	0.986	0.882	3.62271622027617e-48
HMGA1	2.14188310821664e-52	0.730678066909615	0.726	0.358	3.796487809314e-48
RAD21	2.14233000391436e-52	0.726195970260728	0.43	0.136	3.7972799319382e-48
CDK4	6.47022145316024e-52	0.693267721097526	0.387	0.111	1.14684675257265e-47
TAGLN2	1.37529696613143e-51	0.660921584281442	0.65	0.29	2.43771387246795e-47
DDX39A	1.61244368220446e-51	0.796591464625825	0.398	0.122	2.8580564267074e-47
MZT2B	2.63094004117182e-51	0.690513916228377	0.769	0.407	4.66334122297706e-47
HNRNPDL	3.98095943326474e-51	0.704172174125896	0.588	0.246	7.05625059546175e-47
HIST1H1C	1.01132764754088e-50	0.838932603666005	0.288	0.063	1.7925782552662e-46
SNRPG	4.26684766233135e-50	0.717961082687834	0.685	0.334	7.56298748148232e-46
LDHA	8.41350529261312e-50	0.635440338393044	0.714	0.345	1.49129381311568e-45
PPIA	2.32710204407951e-49	0.419792497428333	0.996	0.932	4.12478837313093e-45
ANP32E	2.5696841360949e-49	0.692535101649276	0.298	0.068	4.55476513122821e-45
FABP5	3.90660956655838e-49	0.572831817250742	0.618	0.271	6.92446545672474e-45
CCT6A	4.80975846046661e-48	0.654516251648072	0.548	0.217	8.52529687117706e-44
CACYBP	1.33978621661638e-47	0.681367584981395	0.465	0.167	2.37477106895253e-43
NHP2	7.6691970596012e-47	0.702767242218724	0.434	0.15	1.35936517881431e-42
ENO1	1.04321295324565e-46	0.565209458434347	0.927	0.67	1.84909495962791e-42
SMC3	1.31220844102332e-46	0.666301918123438	0.284	0.065	2.32588946171383e-42
CENPX	1.56025416177103e-46	0.703513971783886	0.353	0.104	2.76555050173915e-42
FADS1	1.80222584902299e-46	0.663698695221831	0.413	0.138	3.19444531739325e-42
MRPL51	5.28872242832706e-46	0.671657058493651	0.531	0.217	9.37426050420972e-42
HNRNPR	5.56498165980595e-46	0.650083024069256	0.475	0.175	9.86392999200605e-42
IMPDH2	2.20090899800238e-45	0.739774675111194	0.305	0.082	3.90111119895922e-41
ATP5MC1	2.35843899637741e-45	0.651079140424139	0.5	0.196	4.18033312107896e-41
SNRPF	3.01049693980036e-45	0.64717027535704	0.466	0.172	5.33610582579614e-41
CARHSP1	3.71945230421563e-45	0.619887638187685	0.294	0.073	6.5927292092222e-41
HSP90AB1	5.87976103030142e-45	0.605757744493144	0.911	0.649	1.04218764262093e-40
SERBP1	1.31834051559488e-44	0.647335739415609	0.682	0.34	2.33675856389192e-40
SKA2	1.51457326503072e-44	0.686345575199193	0.256	0.057	2.68458111226696e-40
LSM2	1.78327367256335e-44	0.66934153928164	0.373	0.119	3.16085258461853e-40
SRM	2.11494929379209e-44	0.683575381341911	0.404	0.136	3.74874762324647e-40
RBBP7	2.39698664239681e-44	0.65009748286559	0.402	0.134	4.24865882364835e-40
NCL	4.23599463291223e-44	0.673848701132549	0.732	0.391	7.50830048683693e-40
NOP56	5.50099812135477e-44	0.649086260514777	0.279	0.067	9.75051917010133e-40
LAPTM5	8.51248012157294e-44	-0.710266128256491	0.832	0.828	1.5088371015488e-39
CCT2	1.15316622506105e-43	0.707500060312819	0.395	0.136	2.04398713392071e-39
ILF2	1.34083406567802e-43	0.629031087164853	0.398	0.132	2.37662838141429e-39
TIMM10	1.43049184506484e-43	0.655677640013614	0.442	0.16	2.53554679537743e-39
SRSF3	2.0628279723197e-43	0.690332560499097	0.553	0.238	3.65636258093666e-39
PSMC3	2.21614995319475e-43	0.624289012249922	0.42	0.145	3.9281257920377e-39
HMGN1	2.89104459160423e-43	0.610077024996733	0.728	0.38	5.1243765386185e-39
CKAP5	3.30763868024372e-43	0.654428158134744	0.277	0.068	5.862789560732e-39
MZT2A	3.44212902571606e-43	0.632473739503952	0.356	0.112	6.10117369808172e-39
SNRPE	8.88051702814059e-43	0.627775839372535	0.395	0.133	1.57407164323792e-38
MIF	2.2149220594008e-42	0.594607970281916	0.824	0.498	3.92594935028791e-38
SRSF7	2.65896616914561e-42	0.642346449349714	0.503	0.205	4.71301753481059e-38
LSM7	3.81254281273088e-42	0.598907184532798	0.5	0.199	6.75773213556549e-38
RPLP0	8.95611792507133e-42	0.421881067066832	0.994	0.886	1.58747190221889e-37
FBL	8.9173917223298e-41	0.666176761218226	0.36	0.121	1.58060768278296e-36
EIF5A	1.29867193070839e-40	0.60002488184468	0.666	0.337	2.30189599718062e-36
C1QBP	1.79273172460948e-40	0.664343079609692	0.541	0.242	3.1776169818703e-36
LSM5	2.12947101093677e-40	0.645422649717996	0.387	0.138	3.77448736688543e-36
TUBA1A	5.42830477911581e-40	0.66908369763987	0.692	0.368	9.62167022098278e-36
SAE1	5.51999218497273e-40	0.627366544440947	0.256	0.062	9.78418614786416e-36
HDGF	6.90248694328273e-40	0.587124629424683	0.337	0.105	1.22346581069686e-35
SRSF2	2.45604128654871e-39	0.560441059322081	0.557	0.246	4.35333318040758e-35
G3BP1	8.98302906883468e-39	0.5558094314401	0.347	0.112	1.59224190245095e-34
LDHB	1.00907931462583e-38	0.576344243284581	0.739	0.413	1.78859308517428e-34
EIF4EBP1	1.46029075529069e-38	0.623872072924982	0.473	0.194	2.58836536375275e-34
NME4	1.66928818734539e-38	0.567875484365433	0.481	0.199	2.95881331206971e-34
YWHAH	3.91433288821399e-38	0.5899332702928	0.504	0.215	6.9381550443593e-34
CCT5	1.44168119081074e-37	0.523000440080833	0.517	0.22	2.55537991071204e-33
UQCC2	1.89395988999755e-37	0.576735570842637	0.405	0.152	3.35704390502065e-33
GGCT	2.09431275276527e-37	0.585601782517075	0.284	0.081	3.71216935427644e-33
GLRX5	3.51685299444974e-37	0.580077625492704	0.363	0.128	6.23362193266217e-33
SLBP	3.6461442992393e-37	0.619511601779066	0.302	0.093	6.46279077040166e-33
STIP1	5.27009578078348e-37	0.574098214912517	0.363	0.126	9.34124477143872e-33
KPNB1	7.50949634914054e-37	0.493990567468894	0.511	0.221	1.33105822788516e-32
DNMT1	7.88270544021082e-37	0.503633654242296	0.483	0.198	1.39720953927737e-32
ITM2B	8.04604568058348e-37	-0.547893708695693	0.927	0.927	1.42616159688342e-32
SUPT16H	1.20342554733419e-36	0.546535160293005	0.331	0.109	2.13307178264985e-32
MRPS34	1.96280612502853e-36	0.560016234130869	0.503	0.223	3.47907385661307e-32
NUDT1	3.20457651864985e-36	0.524829355918421	0.303	0.093	5.68011187930685e-32
HP1BP3	3.60816306806599e-36	0.626121650371066	0.464	0.2	6.39546903814696e-32
RNPS1	4.31150650445622e-36	0.518594493148183	0.35	0.12	7.64214527914865e-32
EIF1AX	4.69728779536583e-36	0.533352340722645	0.37	0.132	8.32594261728593e-32
PTGES3	6.34146184209566e-36	0.570074261521205	0.591	0.286	1.12402411151146e-31
PPP1R14B	8.35149748741478e-36	0.574902460779899	0.548	0.254	1.48030292964427e-31
SRSF10	1.12109447879802e-35	0.516446054470016	0.317	0.103	1.98713996366949e-31
PPM1G	1.86176887200561e-35	0.548934312430851	0.475	0.203	3.29998532562994e-31
RPSA	1.95166176762834e-35	0.462803455247334	0.917	0.659	3.45932048312124e-31
MAZ	3.64987917308844e-35	0.515714020567252	0.305	0.097	6.46941083429926e-31
ILF3	4.56293750903731e-35	0.506273479105776	0.436	0.175	8.08780673476864e-31
NPM1	9.26758295912077e-35	0.546393695492314	0.816	0.536	1.64267907950416e-30
NME2	9.75720530333593e-35	0.536137086075131	0.727	0.407	1.72946464001629e-30
XRCC5	1.5262180735915e-34	0.520656242250337	0.6	0.301	2.70522153544094e-30
CYCS	2.42075075169371e-34	0.514490008523004	0.499	0.223	4.29078070737711e-30
S100A11	3.20752330114842e-34	-0.46925720161638	0.982	0.961	5.68533505128558e-30
CCT7	3.86578897336979e-34	0.486708358210544	0.46	0.191	6.85211095529796e-30
RPL22L1	4.00673317490931e-34	0.559617860577103	0.365	0.135	7.10193455252676e-30
HPRT1	4.0307001952053e-34	0.543540542342419	0.266	0.078	7.14441609600139e-30
XRCC6	5.48114397058886e-34	0.545514161273546	0.496	0.223	9.71532768786876e-30
MRPL4	8.38355693868521e-34	0.537231790206565	0.318	0.109	1.48598546738195e-29
ANAPC11	8.71697347995623e-34	0.521272237330094	0.751	0.448	1.54508354932224e-29
TFDP1	9.66858273276391e-34	0.557800819487636	0.289	0.092	1.7137562893824e-29
HNRNPA3	1.06476845459848e-33	0.544934426288726	0.631	0.321	1.88730208577581e-29
SNRPD3	2.19106358225106e-33	0.506571064382087	0.515	0.235	3.88366019954e-29
MRPL37	2.93876260461644e-33	0.519066548095983	0.289	0.091	5.20895671668264e-29
RHEB	3.75256278514445e-33	0.48696459097472	0.389	0.15	6.65141753666855e-29
ERH	3.88146200548527e-33	0.495437391628737	0.532	0.244	6.87989140472264e-29
KHDRBS1	5.25310431043174e-33	0.496573209576311	0.496	0.22	9.31112739024026e-29
PDCD5	6.06135914336597e-33	0.51062064854216	0.44	0.186	1.07437590816162e-28
SLIRP	8.19815417517457e-33	0.504641537166084	0.582	0.283	1.45312282754969e-28
DDX21	8.7183267873507e-33	0.54666896471453	0.318	0.112	1.54532342305791e-28
PSME2	1.03596002776714e-32	0.50957908766895	0.545	0.266	1.83623914921725e-28
CREM	1.04660819400256e-32	-1.21688969629286	0.219	0.407	1.85511302386953e-28
STAB1	1.76943346652083e-32	-0.733528818690621	0.789	0.807	3.13632081940816e-28
TAF15	2.10586281480287e-32	0.586781749207714	0.3	0.102	3.73264183923809e-28
IDH2	2.41150213367622e-32	0.515139909781009	0.707	0.396	4.2743875319411e-28
SF3B2	4.10090159891901e-32	0.535370142165319	0.505	0.233	7.26884808408394e-28
EEF1B2	4.79012948470712e-32	0.494165574042684	0.876	0.61	8.49050451164337e-28
PSMC4	1.05781461087881e-31	0.49983380491014	0.699	0.393	1.87497639778268e-27
TOMM40	1.44907580031564e-31	0.51591398391117	0.314	0.11	2.56848685605948e-27
TPR	1.53366715299143e-31	0.5197874702891	0.405	0.167	2.71842502867731e-27
FDPS	2.28084153564582e-31	0.550569749817808	0.351	0.134	4.04279162193221e-27
C5AR1	3.07755524906902e-31	-1.22006539734798	0.091	0.271	5.45496667897484e-27
TCP1	4.44011500293968e-31	0.485168225790241	0.359	0.14	7.87010384271058e-27
PGAM1	9.09330052239642e-31	0.514905474528777	0.754	0.452	1.61178751759477e-26
HNRNPH3	1.85690115822288e-30	0.451356308656882	0.276	0.09	3.29135730295006e-26
XPO1	3.08273773744779e-30	0.455457869667464	0.312	0.11	5.46415263962621e-26
NUDC	3.24207524954955e-30	0.440587094020171	0.365	0.142	5.74657837982658e-26
MRPS16	4.1437821162586e-30	0.458678634491032	0.373	0.15	7.34485380106837e-26
MRPL17	4.45038640688237e-30	0.538070004118948	0.273	0.09	7.88830990619899e-26
LSM3	7.01864578651245e-30	0.458283402695602	0.36	0.141	1.24405496565933e-25
SYNCRIP	7.06565156342891e-30	0.451485160418642	0.422	0.181	1.25238673961777e-25
RAB31	9.54337859863834e-30	-0.725652716415803	0.677	0.727	1.69156385660865e-25
MS4A7	2.46256573724193e-29	-1.34546628799867	0.338	0.483	4.36489776926132e-25
HSPA8	2.46776006485879e-29	0.530484234265967	0.826	0.592	4.37410471496221e-25
PTBP1	3.0803077273112e-29	0.433195998916689	0.346	0.134	5.4598454466591e-25
SNRPA	3.59665421861581e-29	0.465322139573799	0.293	0.103	6.37506960249652e-25
NONO	5.0719051223646e-29	0.429669649563481	0.444	0.196	8.98995182939125e-25
TPI1	7.95704637359363e-29	0.389431730218277	0.933	0.734	1.41038646971947e-24
RRP7A	9.97385304797623e-29	0.433907680160439	0.308	0.112	1.76786545275379e-24
SF3A2	1.0464841605735e-28	0.444322874200284	0.293	0.103	1.85489317461653e-24
HNRNPU	1.78243800548992e-28	0.445490519735262	0.674	0.365	3.15937136473089e-24
CCT3	2.80747928869424e-28	0.444031156878005	0.452	0.203	4.97625703921054e-24
SNRPD2	2.86505551349203e-28	0.45834062500069	0.699	0.397	5.07831089766462e-24
PDIA6	3.35360384195341e-28	0.478682515077183	0.519	0.256	5.94426280986242e-24
YWHAQ	4.38692009542674e-28	0.428394324410117	0.346	0.136	7.77581586914389e-24
TXN	1.48361473017191e-27	0.424174191567219	0.535	0.267	2.6297071092297e-23
FUS	1.82047689736099e-27	0.45554915265582	0.564	0.29	3.22679530057236e-23
TPGS2	2.21379311862314e-27	0.416597185156192	0.285	0.102	3.92394830275952e-23
ELAVL1	2.35863006973159e-27	0.447716732907255	0.259	0.088	4.18067179859925e-23
SLC25A5	2.71529862948381e-27	0.471125496284584	0.891	0.643	4.81286682076006e-23
CHCHD2	7.78807768702584e-27	0.701239535730777	0.51	0.294	1.38043677002533e-22
H1FX	8.01052524652805e-27	0.417863812932652	0.436	0.199	1.4198655999471e-22
MRPL11	1.01208873137392e-26	0.451637368419986	0.304	0.117	1.79392727636027e-22
SFPQ	1.11497564588249e-26	0.482408510280819	0.519	0.266	1.97629433232672e-22
TIMM13	1.16530327100451e-26	0.437526084956747	0.464	0.217	2.0655000478555e-22
USP14	1.17846577721395e-26	0.414891853030774	0.275	0.097	2.08883059011173e-22
PGP	1.58379449413682e-26	0.380714593102912	0.332	0.131	2.80727574085751e-22
AHCY	1.76267991629378e-26	0.463164271952854	0.334	0.136	3.12435015163072e-22
MRPS12	2.08152697037328e-26	0.443983332720342	0.314	0.122	3.68950655498664e-22
RPS6	2.50187023105512e-26	0.340543006840062	0.973	0.864	4.43456498454521e-22
NDUFAB1	2.51012619627057e-26	0.446111309433007	0.606	0.323	4.44919868288958e-22
ARL6IP1	2.70876751857891e-26	0.413173107137046	0.378	0.162	4.80129042668112e-22
GTF3A	3.45836854750826e-26	0.407021951938672	0.311	0.119	6.1299582504584e-22
PABPN1	3.46167698053583e-26	0.449216863220278	0.528	0.266	6.13582244799976e-22
PFDN5	4.49460240311925e-26	-0.523869711021194	0.903	0.851	7.96668275952887e-22
HDAC2	5.00838080287968e-26	0.433723080880748	0.316	0.124	8.87735497310424e-22
TMED9	5.57944362332593e-26	0.43188465778444	0.449	0.214	9.8895638223452e-22
RPS2	5.90480309984504e-26	0.3008746281582	0.99	0.927	1.04662634944753e-21
HNRNPH1	5.98222422980729e-26	0.438551715129543	0.272	0.097	1.06034924473334e-21
ATP5MC3	1.14878892727945e-25	0.374539820917624	0.918	0.729	2.03622837360283e-21
CYC1	1.45818067386919e-25	0.406874773497551	0.563	0.292	2.58462524443314e-21
PSMC5	1.74461374885927e-25	0.418385865589262	0.453	0.215	3.09232786985306e-21
HNRNPL	1.79580440059691e-25	0.406395733059319	0.421	0.194	3.18306330005803e-21
TMEM160	2.62556538576267e-25	0.368891770543338	0.398	0.177	4.65381464626433e-21
DDX46	2.91025607866496e-25	0.43736315452383	0.339	0.143	5.15842889943365e-21
CBX1	5.44811064791593e-25	0.374005653681227	0.368	0.157	9.65677612343099e-21
NOL7	6.69972731675589e-25	0.42887553960187	0.419	0.195	1.18752666689498e-20
HINT1	7.43775992350712e-25	0.391078470026559	0.887	0.651	1.31834294644164e-20
EIF4A3	7.46570561154614e-25	0.419227555190746	0.288	0.11	1.32329631964655e-20
SNRPC	8.67735316499083e-25	0.381424570242243	0.523	0.263	1.53806084849462e-20
PSMD1	8.76763023467626e-25	0.369606727585416	0.373	0.163	1.55406245909637e-20
PARK7	8.82833630540165e-25	0.426313217650925	0.614	0.34	1.56482261013244e-20
HNRNPA0	1.03183921538312e-24	0.387673504525846	0.384	0.169	1.82893500926657e-20
PRDX2	1.18290318585119e-24	0.41351862668801	0.367	0.164	2.09669589692124e-20
TXNL4A	1.77434046234737e-24	0.407110562692303	0.557	0.297	3.14501846951072e-20
SDF2L1	2.06940086897825e-24	0.402855843536299	0.444	0.212	3.66801304026395e-20
LBR	2.66567257023173e-24	0.394177490335435	0.325	0.133	4.72490463073574e-20
STOML2	2.68405534820408e-24	0.403208315178852	0.337	0.143	4.75748810469173e-20
CBX3	3.21945820287728e-24	0.380604486934183	0.392	0.178	5.70648966459997e-20
RWDD1	6.55446043216079e-24	0.423738526014497	0.343	0.148	1.1617781116005e-19
SNU13	6.55671316761616e-24	0.347130729170275	0.6	0.32	1.16217740895996e-19
PSMB2	7.68157979954033e-24	0.371203117198166	0.403	0.184	1.36156001946852e-19
U2SURP	7.74622897015032e-24	0.376012031220254	0.295	0.116	1.37301908495914e-19
HSPA9	9.05916589047721e-24	0.428729546594741	0.395	0.181	1.60573715408709e-19
SHMT2	9.84686998772893e-24	0.408854302069803	0.264	0.099	1.74535770532495e-19
TRA2B	1.08064756252359e-23	0.394810467827206	0.359	0.158	1.91544780457306e-19
RBM17	1.25313172391088e-23	0.369142425611262	0.422	0.197	2.22117598063203e-19
CALR	1.29126823819283e-23	0.410613629472677	0.841	0.584	2.28877295219679e-19
PHB2	1.4500177302059e-23	0.350724990752551	0.508	0.254	2.57015642678996e-19
C1QA	1.46056665597528e-23	-0.588583855232883	0.772	0.773	2.58885439771618e-19
EIF5B	1.47436103558993e-23	0.322045869210389	0.366	0.16	2.61330493558316e-19
UQCRQ	1.64519193904444e-23	0.351295818658585	0.765	0.467	2.91610271195628e-19
CSF1R	1.76863615748219e-23	-0.726471762295866	0.618	0.66	3.13490758913719e-19
VDAC3	1.98772819780012e-23	0.408246296323879	0.274	0.107	3.52324823060072e-19
SOD1	2.05764220070554e-23	0.34909943787399	0.564	0.294	3.64717080075056e-19
PSMB5	2.37583966337241e-23	0.407884927998852	0.453	0.225	4.21117580332759e-19
RPL21	2.8561622245025e-23	0.318084476402479	0.971	0.864	5.06254754293069e-19
MRPS18C	4.49271671222483e-23	0.407795834614617	0.334	0.145	7.96334037241852e-19
NAP1L1	6.76250133830306e-23	0.311703332018032	0.544	0.29	1.19865336221422e-18
CCT4	9.26454225234163e-23	0.396314150205257	0.431	0.21	1.64214011422755e-18
YBX1	1.14450840167884e-22	0.329746082327825	0.959	0.789	2.02864114197575e-18
SRRM2	1.18134337652282e-22	0.380425782519281	0.674	0.39	2.0939311348867e-18
NDUFV1	1.22346325706331e-22	0.360756004078308	0.373	0.17	2.16858862314471e-18
FKBP3	1.35027245248115e-22	0.39887519591453	0.274	0.109	2.39335792202283e-18
DNAJC8	1.41425133075002e-22	0.331590757119707	0.398	0.184	2.50676048375441e-18
DCXR	1.41446662973101e-22	0.390308787040111	0.423	0.203	2.50714210119822e-18
